Open,High,Low,Close,Traded Volume,high_low
48.38,48.61,47.76,48.34,76286.0,0.8500000000000014
48.4,48.9,47.84,48.0,67672.0,1.0599999999999952
47.98,48.01,46.75,47.05,67593.0,1.259999999999998
47.09,47.23,46.55,47.03,89373.0,0.6799999999999997
47.03,47.15,46.8,46.84,54107.0,0.3500000000000014
46.57,47.38,46.54,47.04,97252.0,0.8400000000000034
47.25,48.59,46.78,48.39,78502.0,1.8100000000000023
48.4,49.61,48.39,48.8,91142.0,1.2199999999999989
48.8,49.46,48.45,49.2,38834.0,1.009999999999998
49.11,49.41,48.87,49.11,50350.0,0.5399999999999991
49.13,49.73,48.96,49.2,102180.0,0.769999999999996
49.09,49.89,49.03,49.25,42669.0,0.8599999999999994
49.64,49.64,48.7,48.75,67342.0,0.9399999999999977
48.64,49.84,48.28,49.7,123019.0,1.5600000000000023
49.52,50.49,49.17,49.86,101733.0,1.3200000000000003
49.5,51.23,49.5,51.14,94385.0,1.7299999999999969
51.21,51.38,50.4,51.25,83023.0,0.980000000000004
50.8,51.11,50.39,50.89,88730.0,0.7199999999999989
50.89,51.47,50.81,51.47,48123.0,0.6599999999999966
51.5,52.83,51.28,52.12,109157.0,1.5499999999999972
52.28,52.45,51.26,52.14,71817.0,1.1900000000000048
52.29,53.1,51.82,52.43,87911.0,1.2800000000000011
52.64,53.35,52.48,53.09,128434.0,0.8700000000000045
53.11,53.54,52.15,52.67,132981.0,1.3900000000000006
52.7,52.7,51.64,52.01,204080.0,1.0600000000000023
52.37,52.75,51.61,52.62,129733.0,1.1400000000000006
52.73,52.73,51.07,51.66,137313.0,1.6599999999999966
51.88,52.04,51.2,51.27,50587.0,0.8399999999999963
51.16,51.52,50.9,51.4,120649.0,0.6200000000000045
51.05,51.5,50.92,51.32,71165.0,0.5799999999999983
51.45,51.89,50.76,51.82,57452.0,1.1300000000000026
51.65,51.82,51.43,51.6,40660.0,0.39000000000000057
51.76,51.94,51.45,51.76,34640.0,0.4899999999999949
